,company,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count
0,1,1,2,1,1,1,1,0
1,1,4,3,5,3,3,3,0
2,4,2,4.5,none,1,3,2,9
3,5,4,none,none,none,none,none,0
4,2,3,3,4,2,2,3,1
5,5,1,3,2,4,1,2,2
6,1,4,none,none,none,none,none,0
7,2,4,2,4,4,4,4,4
8,1,5,4,4,4,4,4,0
9,5,2,1,1,2,2,1,1
10,1,5,4,5,5,4,5,0
11,5,3,3,4,4,5,3,5
12,5,5,5,5,5,5,5,0
13,4,5,5,5,3,4,5,1
14,2,5,3,5,4,4,5,0
15,5,4,5,3,4,4,2,0
16,1,4,none,none,none,none,none,0
17,1,2,3,1,3,4,2,0
18,5,4,2,4,3,5,4,1
19,1,4,1,4,5,5,4,0
20,5,4,4,4,5,4,2,0
21,5,4,3,4,4,4,4,1
22,5,3,3,3,3,1,2,0
23,2,4,2,4,4,5,4,2
24,1,5,3,5,4,5,2,0
25,1,5,4,5,4,3,4,0
26,2,2,1,1,2,2,2,0
27,1,2,1,1,2,2,1,4
28,5,3,3,4,4,2,3,0
29,4,5,4,5,5,5,4,3
30,5,4,4,4,4,5,5,0
31,2,4,3,4,2,3,4,3
32,5,3,none,none,none,none,none,0
33,4,5,5,5,5,5,5,1
34,2,5,5,5,5,5,5,0
35,1,4,4,4,4,4,4,0
36,1,1,1,1,1,1,1,20
37,2,4,4,4,4,4,4,0
38,4,4,none,none,none,none,none,0
39,4,5,3,5,5,5,3,1
40,4,4,4,4,4,4,4,0
41,5,2,2,1,4,3,1,2
42,3,3,2,3,3,3,2,14
43,1,5,4,5,5,3,1,0
44,2,4,2,none,3.5,2.5,4.5,2
45,1,4,4,3,5,4,5,0
46,1,4,none,none,none,none,none,0
47,4,5,5,5,5,4,4,2
48,2,5,5,5,5,5,5,1
49,5,5,5,5,4,5,4,0
50,2,1,1,2,2,3,1,4
51,1,3,2,3,2,3,2,0
52,5,3,none,none,none,none,none,0
53,5,3,3,1,3,3,1,0
54,4,3,5,5,5,5,5,1
55,1,4,1,3,5,3,3,0
56,4,4,5,5,3,5,2,0
57,4,4,3.5,none,3,4,4,3
58,1,5,5,5,5,5,5,0
59,1,4,3,5,2,3,5,0
60,2,4,4,5,4,4,5,1
61,5,5,5,5,5,5,5,0
